descripcion,id,titular
,[0],"Con todos sus tantos en fase preliminar, Martínez está muy cerca de finalizar como máximo goleador de la Libertadores 2020"
,[1],"Sebastián Rodríguez y Facundo Barceló extienden su vínculo con Emelec; Luca Sosa, nuevo refuerzo"
,[2],Habrá final de Libertadores entre clubes brasileños por primera vez desde 2006
,[3],"Aquiles Álvarez: Si le tengo que sacar la mano a Esteban Paz, se la saco sin problema"
"El exentrenador entre otros equipos del Atlético de Madrid, Javier Vasco Aguirre, con los Rayados de Monterrey, recibirá este sábado al antiguo...",[4],"Monterrey vs. América, el apasionante duelo entre Javier Aguirre y Santiago Solari"
"El caleño rescindió el miércoles su contrato con la selección chilena, a la que dirigió desde 2018. Será su tercera era con los cafeteros.",[5],Selección Colombia anuncia a Reinaldo Rueda como su nuevo adiestrador
El equipo sigue al mando de José Hernández. El Rodillo Rojo cumple esta temporada 50 años de vida institucional.,[6],Técnico Universitario inicia pretemporada en Quillán Loma
"No surgen nuevas perlas. El único que ha mostrado cromos nuevos es Ecuador, pero el bajo rendimiento de sus futbolistas en el exterior ha sido una...",[7],Jorge Barraza: Los más valiosos ya no son los sudamericanos
Robert Burbano retornó a Delfín SC tras no continuar en Emelec,[8],Robert Burbano retornó a Delfín SC tras no despuntar en Emelec
El estratega emitió un mensaje en sus redes sociales para agradecer la colaboración en su trabajo al mando de la Roja.,[9],Reinaldo Rueda firma finiquito y se despide de la selección chilena
El deportista se encuentra actualmente aislado en su domicilio y se encuentra bien de salud.,[10],El tenista británico Andy Murray da positivo por coronavirus
"Ángel Mena respalda a su excompañero azul. ‘Las raíces no van a cambiar nunca ’, pero ‘atrás está la familia’.",[11],"¿Gaibor en Barcelona?; ‘lo verían como una traición, pero él es un profesional’"
La presencia del exjugador de los Rockets convierte a Brooklyn en uno de los máximos aspirantes a luchar por el título de la Conferencia Este.,[12],Deseo cumplido: Harden es nuevo jugador de los Nets
"Ambos equipos acumularon llegadas al área rival, pero el marcador no se movió y se llegó al tiempo de prórroga (1-1).",[13],El Barça es finalista de la Supercopa de España tras superar en tanda de penales a Real Sociedad
"Recorte afecta a los 47 kilómetros finales del tramo de este jueves, con lo que la especial disputará 464 kilómetros.",[14],Rally Dakar reduce tramo de la penúltima etapa por 'mal tiempo'
"El ciclista neerlandés sufrió un aparatoso accidente en la primera etapa del Tour de Polonia, en agosto del 2020.",[15],Fabio Jakobsen: Me siento cada vez más como un ciclista profesional
La deuda corresponde a la etapa en que Pelusa fue jugador del Nápoles.,[16],Deuda de Diego Armando Maradona con el fisco de Italia dejaría sin herencia a su familia
"Vicepresidente canario rechaza declaración de miembro del directorio de la FEF porque ‘desune’, asegura.",[17],"‘Que no participe pues’, dice Manzur sobre Barcelona en la Supercopa"
Los paulistas se medirán a Palmeiras en la final de la Copa.,[18],Santos FC golea a Boca Juniors y disputará la final de la Copa Libertadores ante Palmeiras
La pesista de 22 años dijo que su entrenador le compra vitaminas de su propio presupuesto y está más pendiente.,[19],Dajomes lamenta el 'descuido bastante grande' de autoridades deportivas de Ecuador respecto de atletas rumbo a Tokio
El torneo es invitacional y está previsto jugarse entre el 4 y 10 de febrero.,[20],"'No dan los tiempos' para jugar Supercopa Ecuador, asegura Pablo Repetto"
"En la jornada se registró el abandono del chileno José Cornejo, que lideraba la clasificación en motos.",[21],Peterhansel lidera el Dakar en autos; Cornejo deja la punta en motos por caída y abandono
"El segundo al mando del plantel amarillo comentó que las incorporaciones se harán en forma ordenada, por un tema institucional y de auspiciantes.",[22],"'No pasará del viernes que se presente la plantilla para el 2021', afirma Aquiles Álvarez"
El ecuatoriano se llevó su primer torneo 250 en dobles.,[23],Gonzalo Escobar y Ariel Behar son los campeones en dobles del ATP 250 de Delray Beach
El ariete de 21 años llega al cuadro colchonero procedente del Lyon francés.,[24],Moussa Dembélé llega cedido al Atlético de Madrid hasta el final de la temporada
Álvarez pidió paciencia hasta hacer oficial los nombres de refuerzos o renovaciones del plantel que se plantea el objetivo de ser bicampeón en este...,[25],"El plan A es Cristian Colmán, Barcelona esperará su respuesta hasta este jueves, dice Aquiles Álvarez"
"Elogios para el club perdedor en Argentina. En Brasil, al finalista de la Copa lo califican de ‘decepcionante’.",[26],"‘Por juego River Plate debió ganar 4-0’ a Palmeiras, que ‘jugó como equipo chico’"
"El estratega colombiano fue diagnosticado con cáncer de próstata, su tratamiento está estimado en seis semanas antes de regresar al club.",[27],En Universidad Católica hay ‘confianza’ por total restablecimiento de la salud del DT Santiago Escobar
México sigue siendo el país con mayor presencia de ecuatorianos en el balompié azteca.,[28],Agenda de los jugadores ecuatorianos que participan en el exterior
El español buscará coronarse por segunda ocasión el Australian Open y así pasar la marca de 21 Grand Slams ganados.,[29],Rafael Nadal viajará al Abierto de Australia sin su entrenador Carlos Moyá
El conductor del programa '90 minutos' se respaldó con exjugadores.,[30],'Cai' Aimar felicitó al 'Pollo' Vignolo por haberse dedicado al periodismo
"El ruso Sergei Kariakin fue el ganador de la jornada, mientras el chileno Francisco López lidera en vehículos ligeros.",[31],"Jornada 'muy buena' para Sebastián Guayasamín, tras completar décima etapa del Rally Dakar"
LeBron James sigue liderando a Lakers que ya abren ventaja de dos victorias a su inmediato perseguidor por el liderato.,[32],Los Angeles Lakers sellan otra victoria ante un desconcertado Houston Rockets 
"'Chalequito' llegaba entre los favoritos al título, luego de una actuación del 2020 que lo tuvo en el podio hasta una caída en la penúltima etapa.",[33],Alexander Cepeda se pierde la edición 56 de la Vuelta al Táchira por dar positivo en COVID-19
